whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
Kilchoman Sherry Cask Release,11,85.18,7.93,Scotch (Islay),Kilchoman,Kilchoman,Kilchoman,55.786916,-6.430513,17
Kilkerran 12,22,84.18,4.56,Scotch (Campbeltown),Kilkerran,Glengyle,J & A Mitchell & Company,55.427175,-5.610738,17
Knob Creek 9 Small Batch,39,83.15,6.9,Bourbon,Knob Creek,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Knob Creek Rye,22,77.82,9.57,Rye,Knob Creek,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Knob Creek Single Barrel Reserve,34,84.12,4.95,Bourbon,Knob Creek,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Lagavulin 12,65,90.45,4.39,Scotch (Islay),Lagavulin,Lagavulin,Diageo,55.635551,-6.126194,17
Lagavulin 16,168,87.29,7.37,Scotch (Islay),Lagavulin,Lagavulin,Diageo,55.635551,-6.126194,17
Lagavulin 1995 Distillers Edition,13,87.23,6.72,Scotch (Islay),Lagavulin,Lagavulin,Diageo,55.635551,-6.126194,17
Lagavulin 1997 Distillers Edition,11,90.18,4.42,Scotch (Islay),Lagavulin,Lagavulin,Diageo,55.635551,-6.126194,17
Lagavulin 8,36,83.86,5.86,Scotch (Islay),Lagavulin,Lagavulin,Diageo,55.635551,-6.126194,17
Laphroaig 10,141,85.38,5.92,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig 10 Cask Strength,40,88.9,7.66,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig 15,21,86.52,5.54,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig 18,88,89.15,4.32,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig 25 Cask Strength 2008,11,92.55,2.62,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig An Cuan Mor,14,86.86,3.66,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Cairdeas 2012 Origin,23,89.43,5.63,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Cairdeas 2013 Portwood,60,91.42,5.52,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Cairdeas 2014 Amontillado,25,86.96,5.75,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Cairdeas 2015,24,86.25,3.55,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Cairdeas 2016 Madeira,26,85.19,3.66,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Cairdeas 2017 Quarter Cask Cask Strength,9,84.22,4.47,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Lore,22,82.36,5.64,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig PX Cask,41,86.15,4.56,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Quarter Cask,155,88.94,5.27,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Laphroaig Select,14,77.14,9.59,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
