whiskey,Reco_1,Reco_2,Reco_3,Reco_4,Reco_5,Reco_6,Reco_7,Reco_8,Reco_9,Reco_10,Reco_11,Reco_12,Reco_13,Reco_14,Reco_15,Reco_16,Reco_17,Reco_18,Reco_19,Reco_20,Reco_21,Reco_22,Reco_23,Reco_24,Reco_25,Reco_26,Reco_27,Reco_28,Reco_29,Reco_30,Reco_31,Reco_32,Reco_33,Reco_34,Reco_35,Reco_36,Reco_37,Reco_38,Reco_39,Reco_40,Reco_41,Reco_42,Reco_43,Reco_44,Reco_45,Reco_46,Reco_47,Reco_48,Reco_49,Reco_50,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50
Glenmorangie 12 Quinta Ruban,Balvenie 21 Portwood,Longrow Red 11 Fresh Port Cask,Angel's Envy Bourbon,Laphroaig Cairdeas 2013 Portwood,BenRiach 17 Solstice,1792 Port Finish,Amrut Portonova,Talisker Port Ruighe,Kilchoman Port Cask Matured,Tomatin 14 Portwood,Kavalan Concertmaster,Ardmore 12 Port Wood Finish,Angel's Envy Cask Strength,Bruichladdich Black Art 2.2,Arran Amarone Cask Finish,Arran Port Cask Finish,High West A Midwinter Nights Dram,Bruichladdich Black Art 3.1,Aberlour 12 Non Chill Filtered,Macallan Sherry Cask Strength,Glenfarclas 105 Cask Strength,Glenfarclas 12,Macallan 12 Sherry,Glenfiddich 15,Balvenie 12 Doublewood,Glenfiddich 18,Auchentoshan Three Wood,BenRiach 12 Importanticus Fumosus,Glenlivet 18,Glenmorangie 10 Original,Glenlivet 12,Glenlivet 16 Nadurra,Aberlour 12 Double Cask Matured,GlenDronach 15 Revival,Dalmore 12,GlenDronach 12 Original,Dalmore 15,Longrow Red 12 Fresh Pinot Noir Cask,Amrut Intermediate Sherry,Bruichladdich Port Charlotte 2007 CC:01,Aberlour 10,Glenmorangie Lasanta,Longrow Red 11 Australian Shiraz,Longrow Red 11 Cabernet Sauvignon,Bunnahabhain 18,Bunnahabhain 12,Glenfiddich 12,Glenfarclas 17,Macallan 18 Sherry,Macallan Select Oak,0.6917,0.6645,0.6315,0.6061,0.5914,0.5877,0.583,0.5743,0.572,0.5679,0.4707,0.4296,0.4291,0.4233,0.413,0.39,0.3898,0.3852,0.382,0.3463,0.3396,0.3388,0.3356,0.3352,0.3265,0.3133,0.3118,0.3102,0.3088,0.3065,0.3055,0.3048,0.3043,0.3022,0.2971,0.2951,0.2946,0.2859,0.284,0.2836,0.2824,0.2788,0.278,0.2723,0.2711,0.2689,0.2688,0.2685,0.2671,0.2653
Glenmorangie 10 Original,Glenlivet 12,Dalwhinnie 15,AnCnoc 12,Glenlivet 16 Nadurra,Glenfiddich 12,Cragganmore 12,Arran 10,Glenkinchie 12,Oban 14,Macallan 10 Fine Oak,Balvenie 12 Doublewood,Speyburn 10,Glenfiddich 15,Monkey Shoulder,Glenlivet 18,Tobermory 10,Glenlivet 15 French Oak Reserve,Bruichladdich The Laddie Ten,Balvenie 15 Single Barrel,Chivas Regal 12,Clynelish 14,Highland Park 12,Glenfiddich 18,Arran 14,Aberfeldy 12,Johnnie Walker Black Label,Glenmorangie Astar,Balvenie 12 Single Barrel First Fill,Johnnie Walker Green Label,Auchentoshan Valinch,Deanston 12,Old Pulteney 12,Auchentoshan 12,Cardhu 12,Tomatin 12,Royal Lochnagar 12,Macallan 12 Sherry,Compass Box Great King St. Artist's Blend,Bunnahabhain 12,Springbank 10,Glenmorangie 18,Glenfarclas 12,Deanston Virgin Oak,Benromach 10,Dalmore 12,Aberlour 10,Glengoyne 10,Scapa 16,Johnnie Walker Gold Label,Glenlivet 21 Archive,0.7036,0.6175,0.6108,0.601,0.5908,0.5361,0.5324,0.5295,0.529,0.5284,0.5239,0.5014,0.4946,0.4922,0.4874,0.4834,0.4809,0.4743,0.4731,0.4703,0.4678,0.4643,0.4576,0.4507,0.4459,0.4416,0.4395,0.4362,0.4354,0.4306,0.4305,0.4301,0.422,0.4169,0.4133,0.4006,0.399,0.3972,0.3938,0.3896,0.3876,0.3867,0.3848,0.381,0.38,0.3795,0.377,0.3695,0.3677,0.3677
Bunnahabhain 12,Benromach 10,Highland Park 12,Ardbeg Uigeadail,Springbank 15,Lagavulin 16,Oban 14,Bunnahabhain 18,Highland Park 18,Springbank 10,Talisker 10,Bruichladdich The Laddie Ten,Bowmore 15 Darkest,Caol Ila 12,Laphroaig Triplewood,Clynelish 14,Kilchoman Machir Bay,Bowmore 15 Laimrig,Ardbeg 10,Talisker 18,Laphroaig 10,Kilchoman Sherry Cask Release,Laphroaig 18,Highland Park Dark Origins,Springbank 12 Cask Strength Batch 7,Lagavulin 12,Talisker 57° North,Laphroaig Quarter Cask,Glenfarclas 12,Ledaig 10,Old Pulteney 12,Ardbeg Corryvreckan,Jura Superstition,Springbank 12 Cask Strength,Balvenie 12 Doublewood,Macallan 12 Sherry,GlenDronach 12 Original,Laphroaig PX Cask,Johnnie Walker Green Label,Ardbeg Dark Cove Committee Release,Glenfarclas 105 Cask Strength,Bunnahabhain Toiteach,Amrut Fusion,Kilchoman Sanaig,Finlaggan Old Reserve,Bowmore 12,GlenDronach 15 Revival,Ardbeg Ardbog,Bruichladdich Port Charlotte Scottish Barley,Highland Park 25,Lagavulin 1997 Distillers Edition,0.7676,0.7514,0.7398,0.7327,0.7288,0.7122,0.7091,0.7083,0.7052,0.6853,0.6846,0.6729,0.6658,0.6645,0.6462,0.6399,0.6388,0.6378,0.6279,0.6271,0.6261,0.6237,0.62,0.6196,0.6126,0.6123,0.6106,0.6096,0.6077,0.6037,0.6037,0.6031,0.6009,0.5984,0.5977,0.5949,0.593,0.5899,0.5891,0.589,0.5886,0.5844,0.5832,0.5832,0.5822,0.5801,0.5785,0.5726,0.5725,0.5719
Oban 14,Highland Park 12,Talisker 10,Bruichladdich The Laddie Ten,Bunnahabhain 12,Old Pulteney 12,Johnnie Walker Green Label,Springbank 10,Benromach 10,Caol Ila 12,Highland Park 18,Lagavulin 16,Clynelish 14,Laphroaig 10,Ardbeg 10,Bowmore 12,Ardbeg Uigeadail,Talisker 18,Talisker 57° North,Ledaig 10,Johnnie Walker Black Label,Dalwhinnie 15,Springbank 15,Laphroaig 18,Kilchoman Machir Bay,Lagavulin 12,Laphroaig Quarter Cask,Tobermory 10,Talisker Storm,Longrow Peated,Highland Park 15,Ardbeg Ardbog,Bruichladdich Port Charlotte Scottish Barley,Ardbeg Corryvreckan,Lagavulin 8,Ardmore Traditional Cask Peated,Compass Box Peat Monster,Arran 14,Amrut Fusion,Cragganmore 12,Laphroaig 10 Cask Strength,Bowmore Vault Edition 1st Release,Ardbeg Galileo,Finlaggan Old Reserve,Johnnie Walker Blue Label,Bunnahabhain Toiteach,Talisker 25,Bowmore 18,Bunnahabhain 18,Springbank 18,Black Bottle,0.769,0.7568,0.7287,0.7122,0.7089,0.7089,0.7055,0.6967,0.6871,0.6862,0.6809,0.6804,0.6693,0.6683,0.6576,0.6517,0.649,0.6442,0.6442,0.638,0.6369,0.6335,0.6256,0.621,0.6177,0.6158,0.6129,0.6045,0.5843,0.5825,0.5773,0.5768,0.5754,0.5746,0.5635,0.5602,0.5596,0.5481,0.5463,0.5439,0.5436,0.5432,0.5418,0.5403,0.5402,0.538,0.5374,0.536,0.5355,0.5329
Caol Ila 12,Ardbeg 10,Lagavulin 16,Talisker 10,Laphroaig Quarter Cask,Laphroaig 10,Laphroaig 18,Kilchoman Machir Bay,Ardbeg Uigeadail,Ardbeg Corryvreckan,Ledaig 10,Lagavulin 12,Bowmore 12,Bruichladdich Port Charlotte Scottish Barley,Lagavulin 8,Bruichladdich Octomore 6.1,Compass Box Peat Monster,Talisker 57° North,Laphroaig 10 Cask Strength,Highland Park 12,Finlaggan Old Reserve,Ardbeg Ardbog,Springbank 10,Longrow Peated,Ardmore Traditional Cask Peated,Ardbeg Galileo,BenRiach 10 Curiositas,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Ardbeg Airigh Nam Beist 1990,Bruichladdich Port Charlotte 10,Laphroaig Cairdeas 2015,Bunnahabhain Toiteach,Bruichladdich The Laddie Ten,Laphroaig Triplewood,Bowmore 18,Talisker 18,Benromach 10,Laphroaig 15,Johnnie Walker Green Label,Springbank 15,Black Bottle,Talisker 25,Laphroaig Cairdeas 2013 Portwood,Laphroaig Cairdeas 2016 Madeira,Highland Park 15 Loki,Ardbeg Perpetuum,Balvenie 17 Peated Cask,Laphroaig Cairdeas 2012 Origin,Jura Prophecy,Bruichladdich Port Charlotte The Peat Project,Oban 14,0.9902,0.9619,0.9398,0.9382,0.9228,0.9216,0.9141,0.8968,0.8964,0.8772,0.8757,0.8619,0.8536,0.8488,0.8475,0.8349,0.8345,0.833,0.8237,0.8126,0.8125,0.8068,0.8067,0.7995,0.7948,0.7902,0.7887,0.7728,0.7712,0.7681,0.76,0.7563,0.7492,0.7384,0.7354,0.7281,0.718,0.7178,0.7129,0.7107,0.7041,0.7034,0.6989,0.6975,0.6968,0.6967,0.6925,0.691,0.6901,0.6871
Johnnie Walker Black Label,Johnnie Walker Green Label,Highland Park 12,Johnnie Walker Blue Label,Lagavulin 16,Bowmore 12,Benromach 10,Ardbeg 10,Talisker 10,Johnnie Walker Double Black,Black Bottle,Ardbeg Uigeadail,Laphroaig 10,Laphroaig Quarter Cask,Caol Ila 12,Johnnie Walker Gold Label,Highland Park 18,Oban 14,Springbank 10,Lagavulin 12,Compass Box Peat Monster,Ardmore Traditional Cask Peated,Laphroaig 18,Finlaggan Old Reserve,Ardbeg Corryvreckan,Ledaig 10,Compass Box Great King St. Glasgow Blend,Laphroaig 10 Cask Strength,Longrow Peated,Kilchoman Machir Bay,Lagavulin 8,Dalwhinnie 15,BenRiach 10 Curiositas,Bowmore 18,Ardbeg Ardbog,Talisker 57° North,Chivas Regal 12,Jura Superstition,Bruichladdich Port Charlotte Scottish Barley,Ardbeg Galileo,Amrut Fusion,McClelland Islay,Balvenie 17 Peated Cask,Bruichladdich The Laddie Ten,Springbank 15,Té Bheag,Bruichladdich Octomore 6.1,Bruichladdich Port Charlotte 10,Bowmore 15 Darkest,Connemara Peated,Jura Prophecy,0.7825,0.7819,0.7277,0.7237,0.7106,0.6993,0.6981,0.6943,0.6901,0.6859,0.6757,0.6736,0.6734,0.6641,0.6509,0.6382,0.638,0.6375,0.6372,0.6331,0.6249,0.6246,0.6198,0.6162,0.6132,0.6126,0.6089,0.6082,0.6022,0.5908,0.5878,0.5858,0.5851,0.5791,0.571,0.5708,0.5692,0.5673,0.5669,0.5663,0.5649,0.5625,0.5613,0.5576,0.5521,0.5493,0.5465,0.5439,0.5424,0.5406
Balvenie 14 Caribbean Cask,Teeling Small Batch,Ardbeg Drum Committee Release,Angel's Envy Rye,Kavalan Solist Vinho Barrique,Glenfiddich 21 Gran Reserva,Amrut Kadhambam,Glenlivet 16 Nadurra,Glenlivet 12,Glenmorangie 10 Original,Balvenie 12 Doublewood,Balvenie 15 Single Barrel,Dalwhinnie 15,BenRiach 12,Glenmorangie Astar,Monkey Shoulder,Glenfiddich 18,Glenfarclas 105 Cask Strength,Macallan 12 Sherry,Glenfiddich 12,Glenlivet 18,Glenfiddich 15,Dalmore 12,Arran 10,Macallan 10 Fine Oak,Clynelish 14,Kavalan Solist Ex-Bourbon,Oban 14,Auchentoshan Valinch,Arran 14,Tomatin 12,Glenfarclas 12,Glenlivet 25,Balvenie 12 Single Barrel First Fill,Aberlour 12 Double Cask Matured,AnCnoc 12,Balvenie Tun 1401 Batch #3,Glenlivet 15 French Oak Reserve,Chivas Regal 12,Auchentoshan Three Wood,Old Pulteney 12,Highland Park 12,Bunnahabhain 12,Glenlivet 21 Archive,Benromach 10,Springbank 18,Glenmorangie Nectar D'Or 12,Amrut Fusion,Balvenie 21 Portwood,Glenfarclas 15,GlenDronach 15 Revival,0.555,0.4842,0.4502,0.4449,0.4435,0.4086,0.3474,0.3429,0.333,0.3135,0.3119,0.2893,0.2865,0.2772,0.2766,0.2759,0.2725,0.2721,0.2707,0.2699,0.2613,0.26,0.2591,0.2529,0.2507,0.2468,0.2452,0.2433,0.2422,0.2417,0.2413,0.2399,0.2376,0.2375,0.2368,0.2356,0.2322,0.2292,0.2287,0.2284,0.2283,0.2274,0.2264,0.2261,0.2253,0.2249,0.2247,0.2184,0.2168,0.2149
Glenlivet 16 Nadurra,Glenmorangie 10 Original,Glenlivet 12,Glenfiddich 12,Arran 10,Auchentoshan Valinch,Balvenie 15 Single Barrel,AnCnoc 12,Glenmorangie Astar,Cragganmore 12,Dalwhinnie 15,Glenlivet 18,Glenfiddich 15,Balvenie 12 Doublewood,Arran 14,Macallan 10 Fine Oak,Balvenie 12 Single Barrel First Fill,Monkey Shoulder,Oban 14,Glenlivet 15 French Oak Reserve,Glenfiddich 18,Clynelish 14,Tobermory 10,Glenkinchie 12,Bruichladdich The Laddie Ten,Speyburn 10,Chivas Regal 12,Highland Park 12,Old Pulteney 12,Glenfiddich 15 Distillery Edition,Tomatin 12,Deanston 12,Springbank 10,Johnnie Walker Green Label,Aberfeldy 12,Glenmorangie 18,Balvenie 17 Doublewood,Springbank 15,Glen Garioch 12,Craigellachie 13,Aberlour 12 Double Cask Matured,Glenfarclas 105 Cask Strength,Lagavulin 12,Glenfarclas 12,Glenlivet 21 Archive,Bunnahabhain 12,Macallan 12 Sherry,BenRiach 12,AnCnoc 16,Johnnie Walker Gold Label,Cardhu 12,0.601,0.5969,0.5712,0.5215,0.515,0.5113,0.4978,0.4975,0.4972,0.4876,0.4857,0.4777,0.4754,0.4735,0.4719,0.4665,0.4588,0.4555,0.4544,0.449,0.4451,0.4447,0.4393,0.439,0.422,0.3981,0.3975,0.3969,0.3954,0.3949,0.3936,0.3911,0.388,0.3866,0.3838,0.3827,0.3822,0.3816,0.3805,0.3801,0.3724,0.3706,0.3695,0.3672,0.3644,0.3639,0.3626,0.3611,0.3596,0.358
Wild Turkey 101,Wild Turkey Rare Breed,Russell's Reserve Single Barrel Bourbon,Wild Turkey 101 Rye,Bulleit Bourbon,Wild Turkey Forgiven,Old Grand Dad 114,Wild Turkey Decades,Elmer T. Lee,Old Grand Dad 100 Bottled in Bond,Four Roses Small Batch,Four Roses Single Barrel,Buffalo Trace,Blanton's Original Single Barrel,Woodford Reserve Distiller's Select,Colonel E.H. Taylor Small Batch,Henry McKenna 10 Single Barrel,High West Bourye,Rittenhouse Rye 100,Russell's Reserve Single Barrel Rye,Blanton's Straight from the Barrel,Elijah Craig 12,Wild Turkey 81,Bulleit Rye,Pikesville Rye,Four Roses Single Barrel Private Selection OBSQ,Elijah Craig Barrel Proof,Wild Turkey Kentucky Spirit,Basil Hayden's,Michter's 10 Bourbon,High West Double Rye,Booker's Bourbon,Bulleit Bourbon 10,1792 Ridgemont Reserve,Michter's Barrel Strength Rye,Sazerac Rye,Colonel E.H. Taylor Barrel Proof,WhistlePig 10 Straight Rye,Evan Williams Black Label,Willett Family Estate Rye 4y,High West Campfire,Noah's Mill,1792 Small Batch,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Orphan Barrel Barterhouse 20,Old Ezra 101,Evan Williams White Label Bottled in Bond,Eagle Rare 10,Smooth Ambler Old Scout Rye 7,Smooth Ambler Old Scout Bourbon 7,Colonel E.H. Taylor Straight Rye,0.741,0.7272,0.6928,0.675,0.6457,0.6107,0.6013,0.5979,0.5869,0.5858,0.575,0.5686,0.5649,0.5618,0.5603,0.5513,0.5293,0.5253,0.5212,0.4968,0.4967,0.4929,0.479,0.4738,0.471,0.461,0.461,0.4478,0.4472,0.444,0.4416,0.4412,0.4395,0.4391,0.4382,0.4344,0.4334,0.4278,0.4226,0.421,0.4203,0.4185,0.4163,0.4148,0.4122,0.4119,0.4102,0.4083,0.407,0.4065
Macallan 12 Sherry,Balvenie 12 Doublewood,Macallan Sherry Cask Strength,GlenDronach 12 Original,Glenfarclas 12,Glenmorangie Lasanta,GlenDronach 15 Revival,Glenfarclas 105 Cask Strength,Aberlour 12 Non Chill Filtered,Aberlour 12 Double Cask Matured,Aberlour 10,Aberlour 16,Aberlour A'bunadh batch #45,Glenfarclas 17,BenRiach 12 Sherry Matured,Macallan 18 Sherry,Tomatin 12,Glenfiddich 15,Aberlour A'bunadh batch #47,Dalmore 12,GlenDronach 21 Parliament,Auchentoshan Three Wood,Bunnahabhain 12,Glengoyne 21,Glenfarclas 25,Aberlour A'bunadh batch #46,Aberlour 18,Kavalan Solist Sherry,Glenfarclas 15,Benrinnes 23,Bruichladdich Black Art 2.2,Glenlivet 18,Macallan 15 Fine Oak,Bunnahabhain 18,Balvenie 15 Single Barrel Sherry Cask,Dalmore 15,Glenfarclas 40,Glenfiddich 18,Balvenie Tun 1401 Batch #3,Macallan Edition No. 2,Macallan 12 Double Cask,Glenfarclas 10,Tobermory 15,Michel Couvreur 12 Overaged Malt Whiskey,Benrinnes 14 1999 Lady of the Glen,Balvenie 17 Doublewood,Highland Park Dark Origins,Macallan 12,Benromach 10,Aberlour A'bunadh batch #39,Macallan Rare Cask,0.789,0.7757,0.7662,0.7579,0.7517,0.748,0.7375,0.7235,0.7031,0.6489,0.6468,0.6463,0.6441,0.6404,0.6194,0.6158,0.615,0.6131,0.6118,0.6078,0.6005,0.5977,0.5918,0.5855,0.5825,0.5799,0.5697,0.5677,0.5658,0.5593,0.5562,0.5462,0.5448,0.5429,0.5425,0.5421,0.5387,0.5376,0.5341,0.5209,0.5172,0.5113,0.509,0.5066,0.5033,0.4967,0.4905,0.4897,0.4885,0.4735
Springbank 10,Ardbeg 10,Highland Park 12,Talisker 10,Lagavulin 16,Caol Ila 12,Ledaig 10,Laphroaig 18,Ardbeg Uigeadail,Longrow Peated,Laphroaig Quarter Cask,Springbank 15,Ardbeg Corryvreckan,Kilchoman Machir Bay,Benromach 10,Ardmore Traditional Cask Peated,Bruichladdich Port Charlotte Scottish Barley,Bruichladdich Octomore 6.1,Lagavulin 12,Laphroaig 10,Bruichladdich The Laddie Ten,Talisker 57° North,Lagavulin 8,Ardbeg Galileo,Ardbeg Ardbog,BenRiach 10 Curiositas,Johnnie Walker Green Label,Compass Box Peat Monster,Highland Park 18,Bowmore 12,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Laphroaig 10 Cask Strength,Oban 14,Bunnahabhain 12,Amrut Fusion,Talisker 18,Bruichladdich Port Charlotte 10,Bunnahabhain Toiteach,Finlaggan Old Reserve,Balvenie 17 Peated Cask,Laphroaig Triplewood,Jura Superstition,Ardbeg Airigh Nam Beist 1990,Laphroaig 15,Jura Prophecy,Kilchoman Sanaig,Laphroaig Cairdeas 2015,Highland Park 15 Loki,Johnnie Walker Black Label,Bruichladdich Octomore 4.2_167 Comus,Bowmore 18,0.8354,0.8278,0.8096,0.809,0.8068,0.8061,0.8018,0.7971,0.7938,0.7846,0.7841,0.7801,0.7772,0.776,0.7689,0.7653,0.7574,0.7466,0.7433,0.7377,0.7366,0.7248,0.7204,0.7181,0.7174,0.7165,0.7156,0.709,0.7086,0.7085,0.7071,0.7055,0.7052,0.7039,0.6884,0.6878,0.6825,0.6722,0.6706,0.6695,0.668,0.6627,0.658,0.6504,0.6471,0.6391,0.6376,0.6375,0.6363,0.6349
Johnnie Walker Green Label,Johnnie Walker Black Label,Highland Park 12,Talisker 10,Lagavulin 16,Caol Ila 12,Ardbeg 10,Springbank 10,Oban 14,Benromach 10,Laphroaig 10,Ardbeg Uigeadail,Laphroaig Quarter Cask,Laphroaig 18,Bowmore 12,Ledaig 10,Lagavulin 12,Compass Box Peat Monster,Bruichladdich The Laddie Ten,Johnnie Walker Blue Label,Longrow Peated,Ardbeg Corryvreckan,Kilchoman Machir Bay,Compass Box Great King St. Glasgow Blend,Ardmore Traditional Cask Peated,Highland Park 18,Black Bottle,Talisker 57° North,Bruichladdich Port Charlotte Scottish Barley,Johnnie Walker Gold Label,Springbank 15,Finlaggan Old Reserve,BenRiach 10 Curiositas,Talisker 18,Lagavulin 8,Laphroaig 10 Cask Strength,Bruichladdich Octomore 6.1,Amrut Fusion,Ardbeg Galileo,Bunnahabhain 12,Ardbeg Ardbog,Clynelish 14,Dalwhinnie 15,Bruichladdich Port Charlotte 10,Bunnahabhain Toiteach,Ardbeg Airigh Nam Beist 1990,Balvenie 17 Peated Cask,Johnnie Walker Double Black,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Talisker 25,Talisker Storm,0.7825,0.7589,0.7376,0.7195,0.7178,0.7178,0.7165,0.7089,0.6904,0.6899,0.683,0.6824,0.6813,0.6809,0.6691,0.6639,0.6619,0.6605,0.6552,0.6516,0.6506,0.6485,0.6428,0.6392,0.638,0.6376,0.6265,0.6233,0.6227,0.6222,0.6201,0.6171,0.6113,0.605,0.6048,0.6022,0.6001,0.5962,0.5899,0.5852,0.5838,0.5786,0.5766,0.5748,0.5747,0.5746,0.5729,0.5697,0.5649,0.5649
Old Pulteney 12,Oban 14,Clynelish 14,Bruichladdich The Laddie Ten,Bunnahabhain 12,Old Pulteney 17,Old Pulteney 21,Talisker 10,Talisker Storm,Bowmore Vault Edition 1st Release,Arran 14,Springbank 10,Tobermory 10,Talisker 57° North,Arran 10,Talisker 18,Johnnie Walker Green Label,Highland Park 12,Caol Ila 12,Highland Park 18,Ledaig 10,Springbank 15,Bunnahabhain 18,Kilkerran 12,Glenlivet 12,AnCnoc 12,Dalwhinnie 15,Glenmorangie 10 Original,Cragganmore 12,Ardbeg 10,Laphroaig Cairdeas 2015,Laphroaig 10,Kilchoman Machir Bay,Oban 18,Highland Park 15,Benromach 10,Laphroaig 18,Glenkinchie 12,Talisker 175th Anniversary,Glenlivet 16 Nadurra,Glenfiddich 12,Springbank 18,Laphroaig 15,Bruichladdich Scottish Barley The Classic Laddie,Springbank 16 Local Barley,Kilchoman Coull Point,Lagavulin 16,Scapa 16,Glengoyne 10,Ardbeg Uigeadail,Springbank 12 Cask Strength,0.7089,0.6458,0.6445,0.6037,0.6032,0.5955,0.5829,0.555,0.5485,0.5418,0.5349,0.5348,0.5313,0.5304,0.5239,0.5063,0.4884,0.4784,0.4784,0.4753,0.468,0.4536,0.4515,0.4492,0.4486,0.4347,0.4301,0.4281,0.424,0.4202,0.4165,0.4155,0.4136,0.4028,0.4027,0.4,0.3996,0.3989,0.3969,0.3941,0.3928,0.3893,0.3885,0.3882,0.3863,0.3863,0.3862,0.3795,0.3795,0.3791
Dalwhinnie 15,Oban 14,Glenmorangie 10 Original,Glenlivet 12,Highland Park 12,AnCnoc 12,Benromach 10,Johnnie Walker Black Label,Johnnie Walker Green Label,Cragganmore 12,Glenfiddich 12,Tobermory 10,Bruichladdich The Laddie Ten,Springbank 10,Clynelish 14,Highland Park 18,Johnnie Walker Blue Label,Glenkinchie 12,Speyburn 10,Arran 14,Bowmore 12,Aberfeldy 12,Glenlivet 16 Nadurra,Talisker 10,Bunnahabhain 12,Arran 10,Chivas Regal 12,Ardbeg 10,Caol Ila 12,Monkey Shoulder,Springbank 15,Lagavulin 16,Lagavulin 12,Cardhu 12,Macallan 10 Fine Oak,Johnnie Walker Gold Label,Glenfiddich 18,Laphroaig 10,Glenlivet 18,Glenlivet 15 French Oak Reserve,Amrut Fusion,Glenfiddich 15,Mackinlay's Shackleton Rare Old Highland Malt Whisky,Old Pulteney 12,Ardbeg Uigeadail,Balvenie 12 Doublewood,Johnnie Walker Double Black,Hakushu 12,Highland Park 15,Balvenie 15 Single Barrel,Lagavulin 8,0.6369,0.6175,0.6106,0.6094,0.6,0.5894,0.5878,0.5786,0.5598,0.5537,0.5465,0.5244,0.5234,0.5195,0.5191,0.5187,0.5011,0.4948,0.4936,0.4912,0.4893,0.4876,0.4872,0.4852,0.4768,0.4742,0.4738,0.4704,0.4658,0.4656,0.4615,0.4575,0.4556,0.4529,0.445,0.442,0.4413,0.4404,0.44,0.4378,0.437,0.4348,0.4347,0.4338,0.4301,0.43,0.429,0.428,0.4244,0.4186
Old Weller Antique 107,W.L. Weller Special Reserve,W.L. Weller 12,1792 Sweet Wheat,Van Winkle Special Reserve 12 Lot B,Old Rip Van Winkle 10,Maker's Mark,William Larue Weller 2013,Maker's Mark Cask Strength,Elmer T. Lee,Pappy Van Winkle Family Reserve Bourbon 23,Colonel E.H. Taylor Small Batch,Elijah Craig 12,Buffalo Trace,Stagg Jr.,Wild Turkey Rare Breed,Blanton's Straight from the Barrel,Wild Turkey 101,Colonel E.H. Taylor Barrel Proof,Blanton's Original Single Barrel,Rebel Yell 10 Single Barrel,Elijah Craig Barrel Proof,Old Grand Dad 114,William Larue Weller 2016,Henry McKenna 10 Single Barrel,Orphan Barrel Barterhouse 20,Booker's Bourbon,Noah's Mill,Rock Hill Farms Single Barrel Bourbon,1792 Full Proof,Black Maple Hill,Woodford Reserve Distiller's Select,Russell's Reserve Single Barrel Bourbon,Bulleit Bourbon,Old Ezra 101,Evan Williams Single Barrel 2003,Eagle Rare 10,Four Roses Single Barrel,Four Roses Small Batch,Evan Williams White Label Bottled in Bond,Glenlivet 16 Nadurra,Old Grand Dad 100 Bottled in Bond,Parker's Heritage Collection 6th: Blend of Mashbills,Old Forester 1920,Maker's Mark 46,George T. Stagg 2013,Parker's Heritage Collection 7th: Promise of Hope,Michter's 10 Bourbon,Larceny Small Batch Bourbon,Pappy Van Winkle Family Reserve Bourbon 15,1792 Small Batch,0.8179,0.7861,0.5477,0.5451,0.5159,0.4693,0.4164,0.4011,0.3821,0.3722,0.3674,0.3539,0.353,0.3516,0.3497,0.3493,0.3412,0.3386,0.3325,0.3317,0.3261,0.3258,0.3101,0.3095,0.3043,0.3034,0.3023,0.3012,0.2966,0.2961,0.2925,0.2902,0.2874,0.2834,0.278,0.2778,0.2749,0.2729,0.2727,0.2721,0.2718,0.2692,0.2599,0.2596,0.2537,0.252,0.251,0.2494,0.2458,0.2426
